column_a,graphs,country,data_quality,hdi,per_capita_gdp,region,income_group,total_ecological_footprint_gha_per_capita,total_biocapacity_gha_per_capita,biocapacity_deficit_or_reserve_gha_per_capita,column_l,ecological_poverty_trap,newly_at_risk,emerging_risk_potential,emerging_risk_at_higher_footprint_ef_3_gha,post_ussr_contraction_and_recovery,countries_of_soviet_bloc_contractions,new_independent_countries_since_1960,severe_recession_since_financial_crisis_of_07,significant_wars_including_civil_wars_since_1960,euro_crisis_2008,brics,oecd,opec_countries,league_of_arab_states,four_asian_tigers,originally_low_income_in_1960_rapid_expansion,largest_gdp_contribution_2000_2010,gdp_per_capita_growth_rate_10_fastest_between_1990_2007,total_natural_resources_rents_over_20_of_gdp_in_2012,continuous_rapid_expansion_over_5_avg,continuing_recession,newly_industrialized_country,major_net_exporter_in_fossil_fuel_c_oal_n_atural_gas_o_il,high_fossil_fuel_consuming_efcarbon_40_of_eftotal,inflation_20_highest_in_2015,population_growth_2010_2015_over_2,ef_always_larger_than_biocapacity,biocapacity_always_larger_than_ef,per_capita_ef_gradually_increasing,per_capita_biocapcity_gradually_declining,per_capita_biocapcity_increasing,high_hdi_and_low_ef,high_income_and_high_biocapacity,low_income_and_low_biocapacity,biocapacity_deficit_expanding,biocapacity_reserve_expanding,high_biocapacity_and_low_income,footprint_reductions_without_resource_constraints,low_biocapacity_slow_expansion_and_low_income,from_biocapacity_reserve_to_deficit_between_1961_and_today,city_states,with_dependent_territory,oversea_territory
1,,Afghanistan,,0.479,610.242,,,0.772260062122433,0.504076701345928,-0.268183360776505,,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false
2,,Albania,,0.762,4413.562,,,2.14163463695358,1.0515470030949,-1.09008763385868,,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false
11,,Azerbaijan,,0.758,6122.98,,,2.16958494943736,0.704925148759764,-1.4646598006776,,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,0,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
101,,Lithuania,,0.846,14932.603,,,5.79687370871893,4.99783502234969,-0.79903868636924,,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
102,,Luxembourg,,0.896,107152.906,,,12.2848421209214,1.37581181180298,-10.9090303091184,,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0,true,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
103,,Macedonia TFYR,,0.746,4920.216,,,3.08152714903599,1.61879570618721,-1.46273144284878,,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
104,,Madagascar,,0.511,408.661,,,0.976587642865045,2.48543764362326,1.50885000075822,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
105,,Malawi,,0.473,484.369,,,0.824202781726589,0.662306742787996,-0.161896038938593,,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false
106,,Malaysia,,0.787,10398.227,,,4.42259409742294,2.3882538126029,-2.03434028482004,,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,n,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
107,,Mali,,0.438,705.788,,,1.5380893647184,1.51060234104301,-0.0274870236753899,,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
108,,Malta,,0.853,24080.23,,,4.8885442140748,0.620490670485941,-4.26805354358886,,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
109,,Martinique,,0,0,,0,4.46780721854905,0.376130592829252,-4.0916766257198,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
110,,Mauritania,,0.513,1326.159,,,2.30323660128147,4.35089319249758,2.04765659121611,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,0,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
12,,Bahamas,,0.79,21078.68,,,4.82343959819231,9.33994836186915,4.51650876367684,,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,0,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,false,false,false
111,,Mauritius,,0.779,9163.634,,,3.4950442926505,0.711835059330849,-2.78320923331965,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
112,,Mexico,,0.758,9492.991,,,2.54857835412118,1.20198968577857,-1.34658866834261,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,o,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false
113,,"Micronesia, Federated States of",,0.637,2716.323,,,5.68478835969933,3.82996006508596,-1.85482829461337,,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,0,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false
114,,Moldova,,0.701,1986.941,,,1.92738501260695,1.16012023695241,-0.76726477565454,,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
115,,Mongolia,,0.733,3901.867,,,9.49986956996476,14.9586931408941,5.45882357092934,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,c,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
116,,Montenegro,,0.804,7045.118,,,3.41670274512228,3.01801171130862,-0.39869103381366,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
117,,Morocco,,0.645,3110.209,,,1.74956258279382,0.770368904703047,-0.979193678090773,,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
118,,Mozambique,,0.414,493.252,,,0.86968721178297,1.8967452598858,1.02705804810283,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
119,,Myanmar,,0.552,1266.124,,,1.54867778434281,1.88164004896012,0.33296226461731,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
120,,Namibia,,0.637,5901.243,,,2.08659547547897,6.51864904721075,4.43205357173178,,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
13,,Bahrain,,0.823,22390.684,,,8.71107170345752,0.534703611746187,-8.17636809171133,,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,0,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
121,,Nepal,,0.555,675.735,,,1.02634454288383,0.606700283910526,-0.419644258973304,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false
122,,Netherlands,,0.923,50497.238,,,5.92347308731721,0.864224044168543,-5.05924904314867,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,n,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false
123,,New Zealand,,,,,,5.1,9.9,4.8,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false
124,,Nicaragua,,0.642,1812.995,,,1.47522720507405,2.21357441771461,0.73834721264056,,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
125,,Niger,,0.351,386.726,,,1.75518275903026,1.4287044214378,-0.32647833759246,,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,0,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
126,,Nigeria,,0.525,2563.092,,,1.11530677808201,0.704173344438346,-0.411133433643664,,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,n/o,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
127,,Norway,,0.948,89274.953,,,6.03274643374418,7.41159768679879,1.37885125305461,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,n/o,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false
128,,Oman,,0.795,17132.088,,,6.31575225796185,1.54174896939163,-4.77400328857022,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,0,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
129,,Pakistan,,0.548,1111.196,,,0.788661662077578,0.397416840152894,-0.391244821924684,,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
130,,Panama,,0.785,10229.227,,,2.32487833982675,2.88921051147299,0.56433217164624,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false
14,,Bangladesh,,0.575,922.161,,,0.794628274452816,0.409146355639614,-0.385481918813202,,false,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false
131,,Papua New Guinea,,0.515,2271.483,,,1.84922821157066,3.83332160389495,1.98409339232429,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,0,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
132,,Paraguay,,0.692,3761.912,,,3.6757339259255,10.3723335108152,6.6965995848897,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
133,,Peru,,0.737,5823.964,,,2.29423747223448,3.78823369913171,1.49399622689723,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false
134,,Philippines,,0.679,2505.819,,,1.1042897175917,0.578445571043849,-0.525844146547851,,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
135,,Poland,,0.852,14088.746,,,4.44261965852148,2.07576539241472,-2.36685426610676,,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
136,,Portugal,,0.841,21533.49,,,3.68787648497455,1.27029686255595,-2.4175796224186,,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,0,true,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false
137,,Qatar,,0.855,67901.219,,,15.6539818081391,1.1774006354856,-14.4765811726535,,false,false,false,false,false,false,true,true,true,false,false,false,true,true,false,false,false,false,true,true,false,false,n,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false
138,,R̩union,,0,0,,0,5.43347144091208,0.186221978227803,-5.24724946268428,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true
139,,Romania,,0.798,9158.52,,,2.79852469184052,2.87818600091334,0.07966130907282,,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
140,,Russian Federation,,0.805,11493.727,,,5.56822004076961,6.87676905602117,1.30854901525156,,false,false,false,false,true,true,true,true,false,false,true,false,false,false,false,false,true,false,true,false,false,false,c/n/o,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
15,,Barbados,,0.794,15864.62,,,3.55289485340628,0.163914849299177,-3.3889800041071,,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,0,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
141,,Rwanda,,0.493,672.749,,,0.775231504309601,0.47070336615834,-0.304528138151261,,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false
142,,Saint Lucia,,0.735,7987.526,,,2.05134352766046,0.320142907669279,-1.73120061999118,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false
143,,Samoa,,0.702,3524.596,,,2.38606484639136,1.87805133705681,-0.50801350933455,,false,false,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
144,,Sao Tome and Principe,,0.565,1240.998,,,1.78578641117826,1.01981140725589,-0.76597500392237,,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
145,,Senegal,,0.491,1018.393,,,1.11199170475026,0.981215960512665,-0.130775744237595,,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
146,,Serbia,,0.775,5593.061,,,2.91871704643922,1.67110545761351,-1.24761158882571,,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
147,,Sierra Leone,,0.431,563.174,,,1.22687320559647,1.2524402502829,0.02556704468643,,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
148,,Singapore,,0.924,51865.719,,,5.85738805007652,0.0586505209403524,-5.79873752913617,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,0,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false
149,,Slovakia,,0.842,18003.541,,,4.19554551259905,2.9799858074105,-1.21555970518855,,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,0,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
150,,Slovenia,,0.888,23224.4,,,4.67545435926734,2.27262440496927,-2.40282995429807,,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
16,,Belarus,,0.798,6664.097,,,4.69272533631412,3.43465305859531,-1.25807227771881,,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
151,,Somalia,,0,0,,,1.20886530021858,1.17561198292208,-0.0332533172965002,,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
152,,South Africa,,0.665,7626.81,,,3.41537892227168,1.07794701257131,-2.33743190970037,,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,c,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
153,,South Sudan,,0.421,820.114,0,,1.54208932593849,1.63896997935769,0.0968806534192002,,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,0,false,true,true,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false
154,,Spain,,0.882,29496.379,,,3.80594304766902,1.32807532348827,-2.47786772418075,,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,true,false,0,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
155,,Sri Lanka,,0.764,3506.732,,,1.53196941064962,0.481395206581971,-1.05057420406765,,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
156,,Sudan,,0.488,1837.138,0,,1.21832634997855,1.14928594453776,-0.06904040544079,,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,0,false,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false
157,,Suriname,,0.723,8942.961,,,3.63538980635997,88.2124023462818,84.5770125399218,,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,0,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
158,,Swaziland,,0.541,3980.774,,,2.39809531943528,0.892718539807896,-1.50537677962738,,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
159,,Sweden,,0.909,53561.891,,,6.59105508801532,9.74316725953459,3.15211217151927,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false
160,,Switzerland,,0.938,76410.859,,,4.85044013437093,1.08647175269578,-3.76396838167515,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
17,,Belgium,,0.895,44702.316,,,6.70560821621635,0.939116007637728,-5.76649220857862,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
161,,Syrian Arab Republic,,0.553,0,,,1.46057601009513,0.506154491734088,-0.954421518361042,,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,0,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
162,,Tajikistan,,0.625,892.64,,,0.968447237960089,0.542147697358974,-0.426299540601115,,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false
163,,"Tanzania, United Republic of",,0.519,806.15,,,1.46676321853364,1.23678962030875,-0.22997359822489,,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false
164,,Thailand,,0.738,5589.699,,,2.49244971211537,1.27168598022979,-1.22076373188558,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,0,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false
165,,Timor-Leste,,0.603,893.872,,,0.566357046859848,1.69126513106589,1.12490808420604,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
166,,Togo,,0.484,531.156,,,1.10677352907603,0.542352339451645,-0.564421189624385,,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false
167,,Tonga,,0.718,3581.837,,,3.30201084730052,1.58890530960702,-1.7131055376935,,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false
168,,Trinidad and Tobago,,0.779,16862.551,,,6.68961508836294,1.56190584965504,-5.1277092387079,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
169,,Tunisia,,0.723,4265.146,,,2.17233981488545,0.788947455733973,-1.38339235915148,,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,0,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false
170,,Turkey,,0.764,13312.024,,,3.20786066992892,1.43933131308491,-1.76852935684401,,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,0,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
18,,Benin,,0.481,833.662,,,1.35568678710313,0.936285710213926,-0.419401076889204,,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false
171,,Turkmenistan,,0.688,6399.271,,,5.56307869832325,2.60885663145012,-2.95422206687313,,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,n,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
172,,Uganda,,0.488,642.877,,,1.18694786906403,0.551624823461161,-0.635323045602869,,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false
173,,Ukraine,,0.748,3123.916,,,2.96399483838435,2.66741316005379,-0.29658167833056,,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
,,United Arab Emirates,,0.836,39034.375,,,9.75258085476097,0.556872867704252,-9.19570798705672,,false,false,false,false,false,false,true,true,true,false,false,false,true,true,false,false,false,false,true,true,false,false,o,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
174,,United Kingdom,,0.908,40908.746,,,4.7992161344543,1.20505282666381,-3.59416330779049,,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false
175,,United States of America,,0.918,50782.52,,,8.36605155829397,3.58376462204134,-4.78228693625263,,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,c/n,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false
176,,Uruguay,,0.794,13856.695,,,2.981182411999,10.3241167130141,7.3429343010151,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,0,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false
177,,Uzbekistan,,0.697,1744.491,,,2.17070588746462,0.889454466960634,-1.28125142050399,,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,0,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
178,,"Venezuela, Bolivarian Republic of",,0.769,13708.984,,,3.27124336755039,2.688609272438,-0.58263409511239,,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,o,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
